codigo,fecha,fecha_hora,cod_cliente,nombre,apellidos,email,provincia,localidad,pais,forma_pago,forma_envio,estado,Total_pagado,agrupado,pedidos_en_grupo,Tiempo_desde_ultimo_pedido,Num_Pedidos_Cliente,cliente_nuevo
P001,45000,45000.5,C001,Juan,Perez,juan@example.com,Madrid,Madrid,ES,Paypal,MRW,Entregado,15000,n,1,0,1,s
P002,45035,45035.6,C002,Ana,Gomez,ana@example.com,Barcelona,Barcelona,ES,Stripe,Correos,Entregado,7550,n,1,0,1,s
P003,45040,45040.2,C001,Juan,Perez,juan@example.com,Madrid,Madrid,ES,Paypal,MRW,Entregado,2500,s,2,40,2,n
P004,45100,45100.1,C003,Luis,Martin,luis@example.com,Valencia,Valencia,ES,Stripe,Seur,Enviado,30000,n,1,0,1,s
P005,45120,45120.7,C002,Ana,Gomez,ana@example.com,Barcelona,Barcelona,ES,Stripe,Correos,Entregado,12000,n,1,85,2,n
P006,45130,45130.3,C001,Juan,Perez,juan@example.com,Madrid,Madrid,ES,Bizum,MRW,Entregado,5500,n,1,90,3,n
P007,45250,45250.4,C004,Maria,Lopez,maria@example.com,Sevilla,Sevilla,ES,Paypal,Correos,Entregado,8999,n,1,0,1,s
P008,45300,45300.5,C003,Luis,Martin,luis@example.com,Valencia,Valencia,ES,Stripe,Seur,Entregado,4500,n,1,200,2,n
P009,45380,45380.1,C002,Ana,Gomez,ana@example.com,Barcelona,Barcelona,ES,Paypal,MRW,Entregado,16000,s,2,260,3,n
P010,45400,45400.9,C005,Pedro,Garcia,pedro@example.com,Zaragoza,Zaragoza,ES,Stripe,Correos,Entregado,2100,n,1,0,1,s
